Pack_ID,DS-A-0-163,DS-A-0-165,DS-A-1-104,DS-A-1-105,DS-A-2-115,DS-A-2-116,DS-A-2-117,DS-A-3-127,DS-A-3-128,DS-A-3-129,DS-A-4-139,DS-A-4-140,DS-A-4-141,DS-B-0-172,DS-B-0-173,DS-B-0-174,DS-B-1-106,DS-B-1-107,DS-B-1-108,DS-B-2-118,DS-B-2-119,DS-B-2-120,DS-B-3-131,DS-B-3-132,DS-B-4-142,DS-B-4-143,DS-C-1-97,DS-C-1-98,DS-C-1-99,DS-C-2-109,DS-C-2-110,DS-C-2-111,DS-C-3-122,DS-C-3-123,DS-C-4-133,DS-C-4-135,DS-O-0-154,DS-O-0-155,DS-O-0-156,DS-O-1-100,DS-O-1-101,DS-O-1-102,DS-O-2-112,DS-O-2-113,DS-O-3-124,DS-O-3-126,DS-O-4-138,G-A-0-160,G-A-0-161,G-A-0-162,G-A-1-55,G-A-1-56,G-A-1-57,G-A-2-67,G-A-2-68,G-A-2-69,G-A-3-79,G-A-3-80,G-A-3-81,G-A-4-91,G-A-4-92,G-B-0-169,G-B-0-170,G-B-1-58,G-B-1-59,G-B-1-60,G-B-2-71,G-B-3-82,G-B-3-83,G-B-3-84,G-B-4-94,G-B-4-96,G-C-1-49,G-C-1-50,G-C-1-51,G-C-2-61,G-C-2-62,G-C-3-73,G-C-3-74,G-C-3-75,G-C-4-85,G-C-4-87,G-O-0-151,G-O-0-152,G-O-0-153,G-O-1-52,G-O-1-53,G-O-1-54,G-O-2-64,G-O-2-65,G-O-2-66,G-O-3-76,G-O-3-77,G-O-3-78,US-A-0-157,US-A-0-158,US-A-0-159,US-A-1-7,US-A-1-8,US-A-1-9,US-A-2-19,US-A-2-21,US-A-3-31,US-A-3-33,US-A-4-45,US-B-0-166,US-B-0-167,US-B-0-168,US-B-1-10,US-B-1-11,US-B-1-12,US-B-2-22,US-B-2-23,US-B-2-24,US-B-4-46,US-C-0-145,US-C-1-1,US-C-1-3,US-C-2-13,US-C-2-14,US-C-2-15,US-C-3-25,US-C-3-26,US-C-3-27,US-C-4-37,US-C-4-38,US-C-4-39,US-O-0-148,US-O-0-149,US-O-0-150,US-O-1-4,US-O-1-5,US-O-1-6,US-O-2-16,US-O-2-17,US-O-2-18,US-O-3-28,US-O-3-29
a83844c57732b772ac9c7bc7b26af6ff,0,0,0,0,33,1,17,0,9,2,11,15,18,0,0,0,7,0,9,0,11,0,4,8,13,7,6,10,2,8,8,4,7,13,3,27,0,0,0,1,2,5,9,21,8,13,10,0,0,0,2,5,1,17,23,21,15,20,16,18,21,0,0,4,0,0,9,8,9,6,7,6,9,10,16,15,17,19,17,15,1,8,0,0,0,0,17,0,0,22,23,37,14,26,0,0,0,3,0,0,0,28,25,19,17,0,0,0,0,0,2,11,1,1,11,0,0,0,7,11,6,10,11,8,4,13,4,0,0,0,4,0,1,28,33,23,16,8
00ba1a2f44d89228975999cc2d073471,0,0,1,0,4,8,6,1,8,0,14,7,17,0,0,0,4,0,0,0,37,1,3,5,14,11,12,7,11,12,21,14,21,23,28,0,0,0,0,0,2,0,0,4,9,3,13,0,0,0,1,3,0,8,8,9,9,8,4,6,12,0,0,2,4,6,8,2,8,5,2,8,7,2,17,31,13,25,41,20,21,17,0,0,0,2,6,0,40,7,3,8,1,8,0,0,0,0,3,1,8,6,1,9,15,0,0,0,4,4,1,6,0,6,13,0,7,12,23,42,26,24,20,28,26,19,9,0,0,0,1,9,0,4,3,7,8,11
975cc1e10c1c13ffa8868c8292475980,0,0,3,2,49,7,26,0,5,0,3,10,15,0,0,0,15,10,7,0,6,0,7,11,12,5,7,14,6,4,10,7,7,5,0,0,0,0,0,3,7,0,7,16,7,13,1,0,0,0,4,8,7,14,33,40,7,31,24,17,11,0,0,10,11,20,9,14,20,7,4,15,22,28,28,10,14,13,8,12,7,0,0,0,0,6,10,0,20,21,20,14,23,21,0,0,0,5,8,3,5,40,24,33,7,0,0,0,8,3,7,0,10,0,19,0,5,33,13,22,6,4,4,3,0,10,8,0,0,0,3,19,9,19,19,27,5,7
1a7ef6cbbc315fd477d1fc96ed678218,7,31,113,54,7,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,39,21,215,18,67,0,17,18,2,1,0,4,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,88,30,21,62,47,60,8,2,8,4,0,2,0,0,0,0,0,0,0,2,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
789017f6ca9c371810ee22a526c13e06,0,0,2,4,8,2,13,3,5,2,7,8,6,0,0,0,23,4,32,2,7,2,8,7,15,3,14,8,10,7,17,11,13,9,5,0,0,0,0,5,4,1,16,14,11,13,16,0,0,0,1,4,3,12,12,11,4,4,5,4,6,0,0,1,5,5,14,5,21,9,10,3,5,10,14,16,27,30,19,15,11,10,0,0,0,1,10,0,0,26,26,16,17,24,0,0,0,1,5,1,5,5,9,7,5,0,0,0,2,1,2,5,2,0,0,0,5,8,18,21,17,8,19,18,4,10,3,0,0,0,3,13,0,23,27,26,6,16
69c82078dbda0c3e5d7361ab1ff65713,6,22,29,10,0,2,2,0,0,1,0,0,0,61,57,27,22,25,8,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,38,101,52,30,10,0,0,0,2,0,0,8,0,17,15,6,0,0,0,3,0,2,0,0,25,28,54,48,44,15,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29,47,27,20,35,39,63,1,0,0,0,0,12,21,7,50,37,4,3,0,0,0,0,38,64,27,16,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,73,0,17,11,119,0,2,4,18,2
0f27c63f4760bd348d28d5529aab2a5d,28,10,74,23,13,0,41,0,0,1,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,37,28,84,28,106,4,5,62,4,1,6,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,50,24,157,40,87,10,13,12,6,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2a5d687b2b1a2d77d0538e83c7c569cf,0,0,5,29,65,13,49,0,8,18,0,5,0,0,0,0,8,25,21,21,16,0,0,0,0,0,6,7,6,0,0,0,0,0,0,0,0,0,0,10,0,3,15,17,18,0,22,0,0,0,2,3,0,25,30,34,7,8,11,1,0,0,0,1,0,0,0,0,14,0,4,9,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,27,44,13,8,13,0,0,0,0,0,4,29,34,7,23,7,0,0,0,0,0,0,69,106,31,0,0,1,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,4,14,20,11,12,8
5b238296b6ebc1e54f9c39cdc5d10982,85,61,21,22,0,0,0,1,1,3,0,0,0,8,40,38,11,6,0,3,8,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,165,58,68,24,5,21,0,4,0,1,2,0,0,0,76,33,12,25,9,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,54,63,37,71,27,45,16,1,0,4,0,23,15,19,13,8,13,0,2,3,0,52,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
4a1a20b55092e587a83c02d6b105ff9b,35,388,20,14,13,1,5,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,2,0,14,12,13,0,0,4,1,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,16,5,33,113,54,23,6,1,1,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
